Abstract #,Poster #,Title,Authors,Institutions
834,G30,Extracellular DNA in patients with urothelial carcinoma of the bladder.,"Patrik Palacka , Hana Kováčová , Iveta Mikolášková , Magda Suchánková , Mária Paulovičová , Boris Kollárik , Peter Celec , Ľuba Hunákova","2nd Department of Oncology, Faculty of Medicine, Comenius University and National Cancer Institute, Cancer Research Institute, Biomedical Research Center of the Slovak Academy of Sciences, Institute of Immunology, Faculty of Medicine, Comenius University, 2nd Department of Oncology, Faculty of Medicine, Comenius University and National Cancer Institute, Department of Urology, Bory Hospital, 5 Institute of Molecular Biomedicine, Faculty of Medicine, Comenius University 6 Institute of Pathophysiology, Faculty of Medicine, Comenius University"
36,A14,Evaluation of the impact on overall survival curves of patients with metastatic castration-sensitive prostate cancer staged with PET-PSMA and classified according to current prognostic criteria by volume and risk.,"Isadora Sousa , Luciana Leite , André Ribeiro , Eduardo Lima , José Rinck Jr.",A.C. Camargo Cancer Center
249,G22,Clinical significance of urotensin 2 plasma level in patients diagnosed with prostate cancer.,"Cigdem Dinckal , Zeynep Guc , Mustafa Dinckal , Gamze Ozkan , Sinan Unal , Yasar Yildiz , Utku Oflazoglu , Tarik Salman , Ahmet Alacacioglu , Yuksel Kucukzeybek","İzmir Katip Celebi University, Department of Medical Oncology, Ege University, Department of Urology, İzmir Katip Celebi University, Department of Internal Medicine"
670,C3,Survival disparities by sex with contemporary advanced urothelial carcinoma (aUC) therapy: A real-world analysis.,"Adam Barsouk , Omar Elghawy , Jonathan Sussman , Jessica Xu , Ronac Mamtani , Lin Mei","Abramson Cancer Center, Penn Medicine, Hospital of the University of Pennsylvania, Abramson Cancer Center, Hospital of University of Pennsylvania"
668,C1,Survival disparities by race in advanced urothelial carcinoma (aUC): A real-world analysis.,"Adam Barsouk , Omar Elghawy , Jonathan Sussman , Jessica Xu , Ronac Mamtani , Lin Mei","Abramson Cancer Center, Penn Medicine, Hospital of the University of Pennsylvania, Abramson Cancer Center, University of Pennsylvania, Abramson Cancer Center, Hospital of University of Pennsylvania"
311,,"Gut health and prostate cancer: The influence of a specific phytochemical-rich food capsule plus or minus a probiotic/prebiotic blend on symptoms and progression—A randomised, double-blind placebo-controlled trial.","Robert Thomas , Stacey Kenfield , Paul Newton , Simon Russell , Jeffrey Aldous , Madeleine Williams , Anita Mitra , Zahoor Fazili","Addenbrooke's Hospital, University of California, San Francisco, Edith Cowan University, Western Australia, Hills Rd, School of Sport Science and Physical Activity, University of Bedfordshire, The Primrose Oncology Lifestyle Research Unit, Department of Oncology, University College London and University College London Hospital, Department of Urology, Bedford and Luton NHS Hospitals"
719,D16,Patient profiles as drivers of physician choice for first-line (1L) treatment (tx) in locally advanced or metastatic urothelial cancer (la/mUC): Perspectives from a US study.,"Neil Milloy , Maria Walley , Amber Simpson , Cameron Forshaw , Valerie Morris , Mairead Kearney","Adelphi Real World, EMD Serono, The Healthcare Business of Merck KGaA"
635,J20,Severity of bleomycin-induced lung toxicity in Indian patients with intermediate and poor-risk non-seminomatous germ cell tumors (NSGCT): A clinical perspective.,"Himanshu Gujarathi , Aditya Dhanawat , Bhagyashri Jadhav , Atul Tiwari , Kunal Jobanputra , Kriti YC , Pallavi Rane , Minit Shah , Nandini Menon , Priyamvada Maitre , Mahendra Pal , Amandeep Arora , Aparna Ringe-Katdare , Santosh Menon , Gagan Prakash , Vedang Murthy , Vanita Noronha , Kumar Prabhash , Saneep Tandon , Amit Joshi","Advanced Centre for Treatment, Research and Education in Cancer (ACTREC) and Tata Memorial Hospital (TMH), Tata Memorial Hospital"
TPS433,M31,Neoadjuvant darolutamide and relugolix combination preceding radical prostatectomy for high risk localized and locally advanced prostate cancer: A phase I/Ib trial.,"Guru Sonpavde , Marcio Moschovas , Carlos Alemany , Rajesh Sehgal , Qamar Khan , Christopher Russell , Zachary Smith , Steve Williams , John Andrich , Neley Morales , Ritika Behera , Felipe Valerio , Lindley Mosqueda , Jianbin Zhu , Vipul Patel , Justin Emtage","AdventHealth Cancer Institute and University of Central Florida, AdventHealth Global Robotics Institute, AdventHealth Cancer Institiute Orlando, AdventHealth Cancer Institute, AdventHealth Orlando, Adventhealth"
TPS893,J21,Phase 1/2 INTerpath-005 study: V940 (mRNA-4157) plus pembrolizumab with or without enfortumab vedotin (EV) for resected high-risk muscle-invasive urothelial carcinoma (MIUC).,"Guru Sonpavde , Begoña Valderrama , Karim Chamie , Shilpa Gupta , Maria De Santis , Joydeep Banerjee , Laureen Ojalvo , Yixin Ren , Abhishek Bavle , Thomas Powles","AdventHealth Cancer Institute and University of Central Florida, Hospital Universitario Virgen del Rocío, Insitute of Urological Oncology, UCLA, Taussig Cancer Institute, Cleveland Clinic, Charité Universitätsmedizin Berlin, Moderna Inc., Merck & Co., Inc., Barts Cancer Institute, Queen Mary University of London"
