Title,Speakers,Speaker Location,Affiliation,Identifier,Room,Date,Time,Sesstion,Theme
High-dimensional peripheral immune profiling,Adrian Hayday ,"London, United Kingdom","Peter Gorer Department of Immunobiology, King's College London, London, UK.",,Karlsruhe Auditorium - Hall 5.2,10/17/2025,14:00 - 14:20,Educational Session,Systemic anti-tumour immunity in clinical outcomes
Optimising Outcomes: Patient-centred Care in mHSPC,Alejo Rodriguez-Vida ,"Barcelona, Spain","Medical Oncology Department, Hospital del Mar, Barcelona, Spain.",,Heidelberg Auditorium - Hall 6.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,Transforming Patient Outcomes in GU Oncology
Comprehensive radiation therapy: For whom and when,Alex De Caluwe ,"Brussels, Belgium","General Hospital Sint-Maarten, Mechelen, Belgium. Electronic address: alex.decaluwe@bordet.be.",,Nuremberg Auditorium - Hall 5.2,10/17/2025,16:25 - 16:45,Multidisciplinary Session,"What to de-escalate and for which breast patients? De-escalation in breast surgery, radiation and systemic treatment"
Personalizing Antiemetic Prophylaxis for Patients at High Emetic Risk: Results from the MyRisk Trial,Alex Molasiotis ,"Derby, United Kingdom, Pokfulam","School of Nursing, The Hong Kong Polytechnic University, China, College of Arts, Humanities and Education, University of Derby, Derby",2801O,Hanover Auditorium - Hall 7.2c,10/17/2025,16:20 - 16:30,Proffered Paper,Supportive and palliative care
"Phase 1 study of LY3866288, a potent, highly isoform-selective FGFR3 inhibitor in FGFR3-altered advanced solid tumors (FORAGER-1): Dose optimization",Alexandra Drakaki ,"Los Angeles, United States of America","19University of California, Los Angeles Medical Center, CA, USA.",3070MO,Karlsruhe Auditorium - Hall 5.2,10/17/2025,16:05 - 16:10,Mini Oral Session,"GU tumours, renal & urothelial"
Single-dose carboplatin and involved-node radiotherapy for seminoma stage IIA/B: long-term follow-up from the international multicenter phase II trial SAKK 01/10,Alexandros Papachristofilou ,"Basel, Switzerland","Department of Radiation Oncology, University Hospital Basel, Basel, Switzerland.",1038MO,Heidelberg Auditorium - Hall 6.2,10/17/2025,15:03 - 15:08,Mini Oral Session,"GU tumours, prostate, penile and testis"
Discussion led by Chair,Andrea Cercek ,"New York, United States of America, NY","Department of Medicine, Memorial Sloan Kettering Cancer Center, NY.",,Cologne Auditorium - CityCube A,10/17/2025,16:35 - 17:00,Challenge Your Expert,Lessons learned and treatment options on the horizon
"A blinded, exploratory phase 2 trial of nivolumab and the GDF-15 neutralizing antibody visugromab or placebo as neoadjuvant treatment of patients with muscle-invasive bladder cancer (MIBC): Primary results of the GDFather-NEO trial",Andrea Necchi ,"Milan, Italy","Department of Medical Oncology, IRCCS San Raffaele Hospital, Milan, Italy, Vita-Salute San Raffaele University, Milan, Italy.",LBA110,Dortmund Auditorium - Hall 7.1a,10/17/2025,15:00 - 15:10,Proffered Paper,"GU tumours, renal & urothelial"
Neoadjuvant gemcitabine intravesical system (TAR-200) + cetrelimab (CET) or CET alone in patients (pts) with muscle-invasive bladder cancer (MIBC): SunRISe-4 (SR-4) primary analysis and biomarker results,Andrea Necchi ,"Milan, Italy","Department of Medical Oncology, IRCCS San Raffaele Hospital, Milan, Italy, Vita-Salute San Raffaele University, Milan, Italy.",LBA112,Karlsruhe Auditorium - Hall 5.2,10/17/2025,16:40 - 16:45,Mini Oral Session,"GU tumours, renal & urothelial"
Invited Discussant,Angela DeMichele ,"Philadelphia, United States of America, PA","Penn Medicine Abramson Cancer Center, Philadelphia, PA, USA.",,Munich Auditorium - CityCube B,10/17/2025,15:10 - 15:20,Proffered Paper,"Breast cancer, early stage"
